,video_no,sentence_no,split_video_no,text,start_time,end_time,offensive,offensiveness level,sentiment,video_path,audio_path
0,video_1.mp4,1,video_1_1.mp4,what are your strengths and weaknesses?,0.227,3.903,"[1.0, 0.0]","[1.0, 0.0, 0.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_1_1.mp4,./final_data/audio_conv/video_1_1.npy
1,video_1.mp4,2,video_1_2.mp4,"sir, yeh sabse chutiya sawaal hai, sir",4.079,5.651,"[0.0, 1.0]","[0.0, 1.0, 0.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_1_2.mp4,./final_data/audio_conv/video_1_2.npy
2,video_1.mp4,3,video_1_3.mp4,sabse pehle toh strength hai hi nhi,5.906,7.654,"[1.0, 0.0]","[1.0, 0.0, 0.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_1_3.mp4,./final_data/audio_conv/video_1_3.npy
3,video_1.mp4,4,video_1_4.mp4,"in english, please",8.154,9.655,"[1.0, 0.0]","[1.0, 0.0, 0.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_1_4.mp4,./final_data/audio_conv/video_1_4.npy
4,video_1.mp4,5,video_1_5.mp4,I'm telling you. Why will I tell you my weaknesses?,9.656,13.651,"[1.0, 0.0]","[1.0, 0.0, 0.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_1_5.mp4,./final_data/audio_conv/video_1_5.npy
5,video_1.mp4,6,video_1_6.mp4,"Main aapko apne strength weakness ke naam pe bataunga.You know,jaise",13.654,16.519,"[1.0, 0.0]","[1.0, 0.0, 0.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_1_6.mp4,./final_data/audio_conv/video_1_6.npy
6,video_1.mp4,7,video_1_7.mp4,English !!,16.521,16.601,"[1.0, 0.0]","[1.0, 0.0, 0.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_1_7.mp4,./final_data/audio_conv/video_1_7.npy
7,video_2.mp4,1,video_2_1.mp4,I'm a perfectionist.Main workaholic hoon.Main innocen-,0.415,3.901,"[1.0, 0.0]","[1.0, 0.0, 0.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_2_1.mp4,./final_data/audio_conv/video_2_1.npy
8,video_2.mp4,2,video_2_2.mp4,English !!,3.902,4.154,"[1.0, 0.0]","[1.0, 0.0, 0.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_2_2.mp4,./final_data/audio_conv/video_2_2.npy
9,video_2.mp4,3,video_2_3.mp4,Abey chup!  Behen ke laude! Kya english english english laga rakha hai bey,4.654,9.406,"[0.0, 1.0]","[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_2_3.mp4,./final_data/audio_conv/video_2_3.npy
10,video_2.mp4,4,video_2_4.mp4,Chaar saal ka tha main jab mere papa jabalpur me kisi halwai ke yaha kaam karte the ,9.903,15.404,"[1.0, 0.0]","[1.0, 0.0, 0.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_2_4.mp4,./final_data/audio_conv/video_2_4.npy
11,video_2.mp4,5,video_2_5.mp4,Khud to kabhi school gaye nahi isliye apni gaand ghiss ghiss ke mujhko school me bharti karwaya,16.651,20.067,"[1.0, 0.0]","[1.0, 0.0, 0.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_2_5.mp4,./final_data/audio_conv/video_2_5.npy
12,video_3.mp4,1,video_3_1.mp4,"Sab yahi kehte the...maa, baap,teacher log...Gali ka watchman bhi humse puchta tha ",0.154,4.168,"[1.0, 0.0]","[1.0, 0.0, 0.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_3_1.mp4,./final_data/audio_conv/video_3_1.npy
13,video_3.mp4,2,video_3_2.mp4,"""Aur bhaiya"" Kaisi chal rahi hai aapki taiyaari",4.243,6.164,"[1.0, 0.0]","[1.0, 0.0, 0.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_3_2.mp4,./final_data/audio_conv/video_3_2.npy
14,video_3.mp4,3,video_3_3.mp4,"Bhak bhenchod,tumko kya karna hai?",6.172,7.405,"[0.0, 1.0]","[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_3_3.mp4,./final_data/audio_conv/video_3_3.npy
15,video_3.mp4,4,video_3_4.mp4,"isliye humare school ke bacche, hum sab pahuch gaye",7.905,9.733,"[1.0, 0.0]","[1.0, 0.0, 0.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_3_4.mp4,./final_data/audio_conv/video_3_4.npy
16,video_3.mp4,5,video_3_5.mp4,"bakron ki tarah....""meehh IIT"".....""meehh NIT""",9.911,12.52,"[1.0, 0.0]","[1.0, 0.0, 0.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_3_5.mp4,./final_data/audio_conv/video_3_5.npy
17,video_4.mp4,1,video_4_1.mp4,Aur english sunega tu madarchod to sun!,1.404,3.404,"[0.0, 1.0]","[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_4_1.mp4,./final_data/audio_conv/video_4_1.npy
18,video_4.mp4,2,video_4_2.mp4,10th ke baad do saal lag gaye iss college me ghusne ke liye,3.651,6.315,"[1.0, 0.0]","[1.0, 0.0, 0.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_4_2.mp4,./final_data/audio_conv/video_4_2.npy
19,video_4.mp4,3,video_4_3.mp4,"Coaching me nikal diye,na kuch khele, na kuch seekhe ",6.334,8.701,"[1.0, 0.0]","[1.0, 0.0, 0.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_4_3.mp4,./final_data/audio_conv/video_4_3.npy
20,video_4.mp4,4,video_4_4.mp4,aur do saal baad jab yahaan pahuche toh pata chala ki ,8.711,11.158,"[1.0, 0.0]","[1.0, 0.0, 0.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_4_4.mp4,./final_data/audio_conv/video_4_4.npy
21,video_4.mp4,5,video_4_5.mp4,bade shehron ke convent school ke padhe bachche jab angrezi me baat karte hai,11.167,15.406,"[1.0, 0.0]","[1.0, 0.0, 0.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_4_5.mp4,./final_data/audio_conv/video_4_5.npy
22,video_4.mp4,6,video_4_6.mp4,toh marre hue phool bhi khil uthte hai,15.668,17.462,"[1.0, 0.0]","[1.0, 0.0, 0.0]","[1.0, 0.0, 0.0]",./final_data/videos/video_4_6.mp4,./final_data/audio_conv/video_4_6.npy
23,video_5.mp4,1,video_5_1.mp4,apne personality pe kaam karu.....bahot laga,0.306,1.902,"[1.0, 0.0]","[1.0, 0.0, 0.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_5_1.mp4,./final_data/audio_conv/video_5_1.npy
24,video_5.mp4,2,video_5_2.mp4,yeh chutiya Indus valley Civilization ka jo education system bitha ke jo rakhe ho,2.154,5.402,"[0.0, 1.0]","[0.0, 1.0, 0.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_5_2.mp4,./final_data/audio_conv/video_5_2.npy
25,video_5.mp4,3,video_5_3.mp4,"jisme har saal me dus subject har subject me theory,practical,viva,lab work,external,internal",5.403,10.907,"[1.0, 0.0]","[1.0, 0.0, 0.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_5_3.mp4,./final_data/audio_conv/video_5_3.npy
26,video_5.mp4,4,video_5_4.mp4,"majors,minors,assignments,projects,thesis",10.975,12.656,"[1.0, 0.0]","[1.0, 0.0, 0.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_5_4.mp4,./final_data/audio_conv/video_5_4.npy
27,video_5.mp4,5,video_5_5.mp4,gaand maar ke rakhi hai hamari,13.152,14.152,"[0.0, 1.0]","[0.0, 1.0, 0.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_5_5.mp4,./final_data/audio_conv/video_5_5.npy
28,video_5.mp4,6,video_5_6.mp4,mahino tak nahana bhul jaate hai humlog,14.654,16.065,"[1.0, 0.0]","[1.0, 0.0, 0.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_5_6.mp4,./final_data/audio_conv/video_5_6.npy
29,video_6.mp4,1,video_6_1.mp4,nikal bhosdike,2.651,3.653,"[0.0, 1.0]","[0.0, 1.0, 0.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_6_1.mp4,./final_data/audio_conv/video_6_1.npy
30,video_6.mp4,2,video_6_2.mp4,bomb laga,7.609,9.152,"[0.0, 1.0]","[1.0, 0.0, 0.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_6_2.mp4,./final_data/audio_conv/video_6_2.npy
31,video_6.mp4,3,video_6_3.mp4,maaro behenchod,13.406,14.156,"[0.0, 1.0]","[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_6_3.mp4,./final_data/audio_conv/video_6_3.npy
32,video_7.mp4,1,video_7_1.mp4,vinodwa kaisan ba re,0.109,0.905,"[1.0, 0.0]","[1.0, 0.0, 0.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_7_1.mp4,./final_data/audio_conv/video_7_1.npy
33,video_7.mp4,2,video_7_2.mp4,vinodwa ko to gaand me maarne waale the saala saamne se aa gya,1.154,3.904,"[0.0, 1.0]","[0.0, 1.0, 0.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_7_2.mp4,./final_data/audio_conv/video_7_2.npy
34,video_7.mp4,3,video_7_3.mp4,behenchod,7.191,7.909,"[0.0, 1.0]","[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_7_3.mp4,./final_data/audio_conv/video_7_3.npy
35,video_7.mp4,4,video_7_4.mp4,waise bhi iska kya bigaade hai hum,10.906,12.154,"[1.0, 0.0]","[1.0, 0.0, 0.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_7_4.mp4,./final_data/audio_conv/video_7_4.npy
36,video_7.mp4,5,video_7_5.mp4,bhosdike....humaare naam pe train lut ta hai aur madharchod bakchodi sujhta hai,12.157,15.155,"[0.0, 1.0]","[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_7_5.mp4,./final_data/audio_conv/video_7_5.npy
37,video_7.mp4,6,video_7_6.mp4,nilkal ja yaha se bhosdike,15.783,17.461,"[0.0, 1.0]","[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_7_6.mp4,./final_data/audio_conv/video_7_6.npy
38,video_8.mp4,1,video_8_1.mp4,teri gaand me kahe goriwani keeda kaat raha hai be,0.709,2.405,"[0.0, 1.0]","[0.0, 1.0, 0.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_8_1.mp4,./final_data/audio_conv/video_8_1.npy
39,video_8.mp4,2,video_8_2.mp4,chal bhag.....bhag idhar se,2.811,4.652,"[1.0, 0.0]","[1.0, 0.0, 0.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_8_2.mp4,./final_data/audio_conv/video_8_2.npy
40,video_8.mp4,3,video_8_3.mp4,chal bhag bhosdike,5.725,6.651,"[0.0, 1.0]","[0.0, 0.0, 1.0]","[0.0, 0.0, 1.0]",./final_data/videos/video_8_3.mp4,./final_data/audio_conv/video_8_3.npy
